,kalimat_id,kata,sense,kalimat
0,1000034,mengandung,2301,jepang manga serial majalah manga mengandung cerita masingmasing disajikan episode dilanjutkan edisi
1,1000129,mengandung,2301,surah dinamai maryam surat mengandung kisah maryam maria agama kristen nabi isa as
2,1000476,mengandung,2301,rebusan waterzooi hachee rebusan bawang bombay daging sapi kuah daging kental mengandung membutuhkan jam disajikan
3,1000486,mengandung,2301,permukaan daun mengandung lapisan lilin air jatuh permukaan daun membentuk butiran air
4,1000511,mengandung,2301,pemicu alergen rokok tembakau polusi udarapenghambat beta non selektif makanan mengandung sulfit
5,1000812,mengandung,2302,hagar mengandung anak abram sombong merendahkan sarai
6,1001105,mengejar,2801,pasukan awang mengejar purnama tewas
7,1001112,mengejar,2801,konflik pusat didasarkan pengalaman mantan polisi chicago chuck adamson mengejar 1960an kriminal bernama mccauley karakter de niro dinamai
8,1001164,mengejar,2801,srikandi berjanji mempertemukan prabakusuma arjuna membantunya mengejar menangkap pencuri jamus kalimasada
9,1001333,mengejar,2802,hill terdaftar columbia university 1993 aktif penuh mengejar karier dunia hiburan
10,1001347,mengejar,2802,ditengah kesulitan dahlan berjuang menjaga adiknya mengejar mimpinya
11,1001696,mengejar,2801,video menampilkan klip anak lakilaki bermain bola basket mengejar kupukupu
12,1002333,mengejar,2801,miller mengejar wild dog jembatan kastil
13,1002554,mengejar,2801,berdua menyedot gas siphon mobil polisi mengejar cody bersaudara melaju penjual hardware menemui montir kooperatif memeras us 500 menambal radiator
14,1002585,mengejar,2801,agen winstead hurt don frye berlari mengejar dillinger hamilton pepohonan baku tembak
15,1002705,mengejar,2801,tanggal 12 november tentara amerika berhasil mengejar membunuhi tentara jepang tersisa kantongkantong perlawanan
16,1002835,mengejar,2801,tertinggal saingan beratnya serbia georgia tuan rumah belarusia rusia armenia mengejar voting skornya georgia
17,1002905,mengejar,2801,farrel bram berusaha mengejar mischa
18,1003239,mengeluarkan,2902,pemisahan administratif gubernur jenderal mengeluarkan surat keputusan khusus membatalkan peraturan am gereja protestan minahasa
19,1003602,mengeluarkan,2902,tanggal 23 maret 1946 tentara sekutu mengeluarkan ultimatum ke2
20,1003912,mengeluarkan,2902,mei 1946 project rand mengeluarkan desain preliminari experimen wahana angkasa mengedari dunia kendaraan satelit berisi instrumentasi diharapkan alat ilmu canggih abad duapuluh
21,1004296,mengeluarkan,2902,the misfits menerima tawaran memutuskan rekaman slash records mengeluarkan album
22,1004440,mengeluarkan,2901,mengeluarkan kartu sesuai tertera pojok kiri kartu tertera 5 mengorbankan 5
23,1004753,mengeluarkan,2902,gubernur dki jakarta wiyogo atmodarminto mengeluarkan surat izin pendahuluan pembangunan gereja bernomor 61218571 tertanggal 27 januari 1987
24,1004898,mengeluarkan,2902,mengeluarkan puluhan album rohani
25,1004921,mengeluarkan,2902,pengadilan korea selatan menerima klaim keputusan mendorong komisi perdagangan adil negara mengeluarkan model kontrak memperbaiki situasi boyband
